model,epoch,split,metric,value
deeponet,1,train,relative_l2,1.1431550979614258
deeponet,1,validation,relative_l2,6.4793853759765625
deeponet,2,train,relative_l2,3.2451778411865235
deeponet,2,validation,relative_l2,0.9594746828079224
deeponet,3,train,relative_l2,1.190405011177063
deeponet,3,validation,relative_l2,0.9402186274528503
deeponet,4,train,relative_l2,0.9817508339881897
deeponet,4,validation,relative_l2,1.0685243606567383
deeponet,5,train,relative_l2,0.969966983795166
deeponet,5,validation,relative_l2,1.0021871328353882
deeponet,6,train,relative_l2,0.8776058793067932
deeponet,6,validation,relative_l2,0.9582395553588867
deeponet,7,train,relative_l2,0.8230572581291199
deeponet,7,validation,relative_l2,0.8256897330284119
deeponet,8,train,relative_l2,0.796752655506134
deeponet,8,validation,relative_l2,0.7914025187492371
deeponet,9,train,relative_l2,0.7535286784172058
deeponet,9,validation,relative_l2,0.7833942770957947
deeponet,10,train,relative_l2,0.7269893765449524
deeponet,10,validation,relative_l2,0.718939483165741
deeponet,11,train,relative_l2,0.6842684507369995
deeponet,11,validation,relative_l2,0.7048572897911072
deeponet,12,train,relative_l2,0.6217206239700317
deeponet,12,validation,relative_l2,0.6145468950271606
deeponet,13,train,relative_l2,0.559535551071167
deeponet,13,validation,relative_l2,0.8499719500541687
deeponet,14,train,relative_l2,0.6742758631706238
deeponet,14,validation,relative_l2,0.5754616856575012
deeponet,15,train,relative_l2,0.5280273199081421
deeponet,15,validation,relative_l2,0.5905618667602539
deeponet,16,train,relative_l2,0.5106346845626831
deeponet,16,validation,relative_l2,0.611579418182373
deeponet,17,train,relative_l2,0.4962654411792755
deeponet,17,validation,relative_l2,0.6507431864738464
deeponet,18,train,relative_l2,0.5209697842597961
deeponet,18,validation,relative_l2,0.5652093291282654
deeponet,19,train,relative_l2,0.5173139572143555
deeponet,19,validation,relative_l2,0.5564339756965637
deeponet,20,train,relative_l2,0.4889525830745697
deeponet,20,validation,relative_l2,0.542542576789856
deeponet,21,train,relative_l2,0.4585616707801819
deeponet,21,validation,relative_l2,0.5227457284927368
deeponet,22,train,relative_l2,0.4834721326828003
deeponet,22,validation,relative_l2,0.5131243467330933
deeponet,23,train,relative_l2,0.47925400733947754
deeponet,23,validation,relative_l2,0.6295077204704285
deeponet,24,train,relative_l2,0.48960375785827637
deeponet,24,validation,relative_l2,0.5418045520782471
deeponet,25,train,relative_l2,0.470706570148468
deeponet,25,validation,relative_l2,0.5529804229736328
deeponet,26,train,relative_l2,0.48118842840194703
deeponet,26,validation,relative_l2,0.5042511820793152
deeponet,27,train,relative_l2,0.46448771357536317
deeponet,27,validation,relative_l2,0.5200055241584778
deeponet,28,train,relative_l2,0.479908812046051
deeponet,28,validation,relative_l2,0.5170828104019165
deeponet,29,train,relative_l2,0.45591540932655333
deeponet,29,validation,relative_l2,0.5138967633247375
deeponet,30,train,relative_l2,0.4600505709648132
deeponet,30,validation,relative_l2,0.5296532511711121
pod_deeponet,1,train,relative_l2,0.8926552534103394
pod_deeponet,1,validation,relative_l2,0.8086203932762146
pod_deeponet,2,train,relative_l2,0.8578037142753601
pod_deeponet,2,validation,relative_l2,0.791083812713623
pod_deeponet,3,train,relative_l2,0.8469207286834717
